Feature Name,Data Type,Description,Unit
Unnamed: 0,int64,,
Nanoparticle,int64,,
Core Size (nm),float64,,
Shape,int64,,
Zeta Potential (mV),float64,,
Surface Area (m²/g),float64,,
Aggregation State,int64,,
Dissolution Rate (mg/L),float64,,
Zn²⁺ Ion Release (mg/L),float64,,
Impurity Content (%),float64,,
Surface Chemistry,int64,,
Coating Type,int64,,
Oxidative Potential,int64,,
Exposure Dosage (µg/mL),float64,,
Exposure Time (hrs),int64,,
Cell Type,int64,,
ROS Production,float64,,
Membrane Damage (%),int64,,
Apoptosis (%),float64,,
Necrosis (%),float64,,
IC50 Value (µg/mL),int64,,
Cell Viability (%),float64,,
SurfaceArea_to_CoreSize,float64,,
Dosage_per_Time,float64,,
